PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
93,0,0,1.55930471420288,-430.447692871094,1275.232421875,7,0,0,0
94,0,0,1.55818068981171,-430.116638183594,1274.28881835938,7,0,0,0
95,0,0,1.5599570274353,-429.785583496094,1273.34521484375,7,0,0,0
96,0,0,1.5617333650589,-429.454528808594,1272.40161132813,7,0,0,0
97,0,0,1.5635097026825,-429.123474121094,1271.4580078125,7,0,0,0
98,0,0,1.56528604030609,-428.792419433594,1270.51440429688,7,0,0,0
99,0,0,1.56706237792969,-428.461364746094,1269.57080078125,7,0,0,0
100,0,0,1.56883871555328,-428.130310058594,1268.62719726563,7,0,0,0
101,0,0,1.57061505317688,-427.799255371094,1267.68359375,7,0,0,0
102,0,0,1.57239139080048,-427.468200683594,1266.73999023438,7,0,0,0
103,0,0,1.57416772842407,-427.137145996094,1265.79638671875,7,0,0,0
104,0,0,1.57594406604767,-426.806091308594,1264.85278320313,7,0,0,0
105,0,0,1.57772040367126,-426.475036621094,1263.9091796875,7,0,0,0
106,0,0,1.57949674129486,-426.143981933594,1262.96557617188,7,0,0,0
107,0,0,1.58127307891846,-425.812927246094,1262.02197265625,7,0,0,0
108,0,0,1.58304941654205,-425.481872558594,1261.07836914063,7,0,0,0
109,0,0,1.58482575416565,-425.150817871094,1260.134765625,7,0,0,0
110,0,0,1.58660209178925,-424.819763183594,1259.19116210938,7,0,0,0
111,0,0,1.58837842941284,-424.488708496094,1258.24755859375,7,0,0,0
112,0,0,1.59015476703644,-424.157653808594,1257.30395507813,7,0,0,0
113,0,0,1.59193110466003,-423.826599121094,1256.3603515625,7,0,0,0
114,0,0,1.59370744228363,-423.495544433594,1255.41674804688,7,0,0,0
115,0,0,1.59548377990723,-423.164489746094,1254.47314453125,7,0,0,0
116,0,0,1.59726011753082,-422.833435058594,1253.52954101563,7,0,0,0
117,0,0,1.59903645515442,-422.502380371094,1252.5859375,7,0,0,0
118,0,0,1.60081279277802,-422.171325683594,1251.64233398438,7,0,0,0
119,0,0,1.60258913040161,-421.840270996094,1250.69873046875,7,0,0,0
120,0,0,1.60436546802521,-421.509216308594,1249.75512695313,7,0,0,0
121,0,0,1.6061418056488,-421.178161621094,1248.8115234375,7,0,0,0
122,0,0,1.6079181432724,-420.847106933594,1247.86791992188,7,0,0,0
123,0,0,1.609694480896,-420.516052246094,1246.92431640625,7,0,0,0
124,0,0,1.61147081851959,-420.184997558594,1245.98071289063,7,0,0,0
125,0,0,1.61324715614319,-419.853942871094,1245.037109375,7,0,0,0
126,0,0,1.61502349376678,-419.522888183594,1244.09350585938,7,0,0,0
127,0,0,1.61679983139038,-419.191864013672,1243.14990234375,7,0,0,0
128,0,0,1.61857616901398,-418.860809326172,1242.20629882813,7,0,0,0
129,0,0,1.62035250663757,-418.52978515625,1241.2626953125,7,0,0,0
130,0,0,1.62212884426117,-418.198760986328,1240.31909179688,7,0,0,0
131,0,0,1.62390518188477,-417.867706298828,1239.37548828125,7,0,0,0
132,0,0,1.62568151950836,-417.536682128906,1238.43188476563,7,0,0,0
133,0,0,1.62745773792267,-417.205627441406,1237.48828125,7,0,0,0
134,0,0,1.62923407554626,-416.874603271484,1236.54467773438,7,0,0,0
135,0,0,1.63101029396057,-416.543579101563,1235.60107421875,7,0,0,0
136,0,0,1.63278651237488,-416.212524414063,1234.65747070313,7,0,0,0
137,0,0,1.63456284999847,-415.881500244141,1233.7138671875,7,0,0,0
138,0,0,1.63633906841278,-415.550476074219,1232.77026367188,7,0,0,0
139,0,0,1.63811528682709,-415.219421386719,1231.82666015625,7,0,0,0
140,0,0,1.63980162143707,-414.888397216797,1230.88305664063,7,0,0,0
141,0,0,1.64027297496796,-414.557342529297,1229.939453125,7,0,0,0
142,0,0,1.64074432849884,-414.226287841797,1228.99584960938,7,0,0,0
143,0,0,1.64121568202972,-413.895233154297,1228.05224609375,7,0,0,0
144,0,0,1.64168703556061,-413.564178466797,1227.10864257813,7,0,0,0
145,0,0,1.64215838909149,-413.233123779297,1226.1650390625,7,0,0,0
146,0,0,1.64262974262238,-412.902069091797,1225.22143554688,7,0,0,0
147,0,0,1.64310109615326,-412.571014404297,1224.27783203125,7,0,0,0
148,0,0,1.64357244968414,-412.239959716797,1223.33422851563,7,0,0,0
149,0,0,1.64404380321503,-411.908905029297,1222.390625,7,0,0,0
150,0,0,1.64451515674591,-411.577850341797,1221.44702148438,7,0,0,0
151,0,0,1.64498651027679,-411.246795654297,1220.50341796875,7,0,0,0
152,0,0,1.64545786380768,-410.915740966797,1219.55981445313,7,0,0,0
153,0,0,1.64592921733856,-410.584686279297,1218.6162109375,7,0,0,0
154,0,0,1.64640057086945,-410.253631591797,1217.67260742188,7,0,0,0
155,0,0,1.64687192440033,-409.922576904297,1216.72900390625,7,0,0,0
156,0,0,1.64734327793121,-409.591522216797,1215.78540039063,7,0,0,0
157,0,0,1.6478146314621,-409.260467529297,1214.841796875,7,0,0,0
158,0,0,1.64828586578369,-408.929412841797,1213.89819335938,7,0,0,0
159,0,0,1.64875721931458,-408.598358154297,1212.95458984375,7,0,0,0
160,0,0,1.64922845363617,-408.267303466797,1212.01098632813,7,0,0,0
161,0,0,1.64969980716705,-407.936248779297,1211.0673828125,7,0,0,0
162,0,0,1.65017104148865,-407.605194091797,1210.12377929688,7,0,0,0
163,0,0,1.65064239501953,-407.274139404297,1209.18017578125,7,0,0,0
164,0,0,1.65111362934113,-406.943084716797,1208.23657226563,7,0,0,0
165,0,0,1.65158498287201,-406.612030029297,1207.29296875,7,0,0,0
166,0,0,1.6520562171936,-406.280975341797,1206.34936523438,7,0,0,0
167,0,0,1.65252757072449,-405.949920654297,1205.40576171875,7,0,0,0
168,0,0,1.65299880504608,-405.618865966797,1204.46215820313,7,0,0,0
169,0,0,1.65347003936768,-405.287811279297,1203.5185546875,7,0,0,0
170,0,0,1.65394139289856,-404.956756591797,1202.57495117188,7,0,0,0
171,0,0,1.65441262722015,-404.625701904297,1201.63134765625,7,0,0,0
172,0,0,1.65488398075104,-404.294647216797,1200.68774414063,7,0,0,0
173,0,0,1.65535521507263,-403.963592529297,1199.744140625,7,0,0,0
174,0,0,1.65582656860352,-403.632537841797,1198.80053710938,7,0,0,0
175,0,0,1.65629780292511,-403.301483154297,1197.85693359375,7,0,0,0
176,0,0,1.65676915645599,-402.970428466797,1196.91333007813,7,0,0,0
177,0,0,1.65724039077759,-402.639404296875,1195.9697265625,7,0,0,0
178,0,0,1.65771174430847,-402.308380126953,1195.02612304688,7,0,0,0
179,0,0,1.65818297863007,-401.977325439453,1194.08251953125,7,0,0,0
180,0,0,1.65865433216095,-401.646301269531,1193.13891601563,7,0,0,0
181,0,0,1.65912556648254,-401.315246582031,1192.1953125,7,0,0,0
182,0,0,1.65959680080414,-400.984222412109,1191.25170898438,7,0,0,0
183,0,0,1.66006815433502,-400.653198242188,1190.30810546875,7,0,0,0
184,0,0,1.66053938865662,-400.322143554688,1189.36450195313,7,0,0,0
185,0,0,1.6610107421875,-399.991119384766,1188.4208984375,7,0,0,0
186,0,0,1.66148197650909,-399.660095214844,1187.47729492188,7,0,0,0
187,0,0,1.65827071666718,-399.289916992188,1186.55187988281,7,0,0,0
188,0,0,1.65334737300873,-398.891357421875,1185.634765625,7,0,0,0
189,0,0,1.64842402935028,-398.492797851563,1184.71765136719,7,0,0,0
190,0,0,1.64350068569183,-398.09423828125,1183.80053710938,7,0,0,0
191,0,0,1.63857734203339,-397.695678710938,1182.88342285156,7,0,0,0
192,0,0,1.63365399837494,-397.297119140625,1181.96630859375,7,0,0,0
193,0,0,1.62873065471649,-396.898559570313,1181.04919433594,7,0,0,0
194,0,0,1.62380731105804,-396.5,1180.13208007813,7,0,0,0
195,0,0,1.6188839673996,-396.101440429688,1179.21496582031,7,0,0,0
196,0,0,1.61396062374115,-395.702880859375,1178.2978515625,7,0,0,0
197,0,0,1.6090372800827,-395.304321289063,1177.38073730469,7,0,0,0
198,0,0,1.60411393642426,-394.90576171875,1176.46362304688,7,0,0,0
199,0,0,1.59919059276581,-394.507202148438,1175.54650878906,7,0,0,0
200,0,0,1.59426724910736,-394.108642578125,1174.62939453125,7,0,0,0
201,0,0,1.58934390544891,-393.710083007813,1173.71228027344,7,0,0,0
202,0,0,1.58442056179047,-393.3115234375,1172.79516601563,7,0,0,0
203,0,0,1.57949721813202,-392.912963867188,1171.87805175781,7,0,0,0
204,0,0,1.57457387447357,-392.514404296875,1170.9609375,7,0,0,0
205,0,0,1.56965053081512,-392.115844726563,1170.04382324219,7,0,0,0
206,0,0,1.56472718715668,-391.71728515625,1169.12670898438,7,0,0,0
207,0,0,1.55980384349823,-391.318725585938,1168.20959472656,7,0,0,0
208,0,0,1.55488049983978,-390.920166015625,1167.29248046875,7,0,0,0
209,0,0,1.54995715618134,-390.521606445313,1166.37536621094,7,0,0,0
210,0,0,1.54503381252289,-390.123046875,1165.45825195313,7,0,0,0
211,0,0,1.54011046886444,-389.724487304688,1164.54113769531,7,0,0,0
212,0,0,1.53518712520599,-389.325927734375,1163.6240234375,7,0,0,0
213,0,0,1.53026390075684,-388.927398681641,1162.70690917969,7,0,0,0
214,0,0,1.52534067630768,-388.528869628906,1161.78979492188,7,0,0,0
215,0,0,1.52032351493835,-388.1259765625,1160.87451171875,7,0,0,0
216,0,0,1.51529800891876,-387.722686767578,1159.95947265625,7,0,0,0
217,0,0,1.51027250289917,-387.319396972656,1159.04443359375,7,0,0,0
218,0,0,1.50524699687958,-386.916107177734,1158.12939453125,7,0,0,0
219,0,0,1.50022149085999,-386.512817382813,1157.21435546875,7,0,0,0
220,0,0,1.49519598484039,-386.109527587891,1156.29931640625,7,0,0,0
221,0,0,1.4901704788208,-385.706237792969,1155.38427734375,7,0,0,0
222,0,0,1.4851450920105,-385.302947998047,1154.46923828125,7,0,0,0
223,0,0,1.4801197052002,-384.899658203125,1153.55419921875,7,0,0,0
224,0,0,1.47509431838989,-384.496368408203,1152.63916015625,7,0,0,0
225,0,0,1.47006893157959,-384.093109130859,1151.72412109375,7,0,0,0
226,0,0,1.46504354476929,-383.689849853516,1150.80908203125,7,0,0,0
227,0,0,1.46001815795898,-383.286590576172,1149.89404296875,7,0,0,0
228,0,0,1.45499277114868,-382.883331298828,1148.97900390625,7,0,0,0
229,0,0,1.44996738433838,-382.480072021484,1148.06396484375,7,0,0,0
230,0,0,1.44494199752808,-382.076812744141,1147.14892578125,7,0,0,0
231,0,0,1.43991661071777,-381.673553466797,1146.23388671875,7,0,0,0
232,0,0,1.43489122390747,-381.270263671875,1145.31884765625,7,0,0,0
233,0,0,1.42986583709717,-380.867004394531,1144.40380859375,7,0,0,0
234,0,0,1.42484045028687,-380.463745117188,1143.48876953125,7,0,0,0
235,0,0,1.41981506347656,-380.060485839844,1142.57373046875,7,0,0,0
236,0,0,1.41478967666626,-379.6572265625,1141.65869140625,7,0,0,0
237,0,0,1.40976428985596,-379.253967285156,1140.74365234375,7,0,0,0
238,0,0,1.40473890304565,-378.850708007813,1139.82861328125,7,0,0,0
239,0,0,1.39971363544464,-378.447448730469,1138.91357421875,7,0,0,0
240,0,0,1.39468836784363,-378.044189453125,1137.99853515625,7,0,0,0
241,0,0,1.38966310024261,-377.640899658203,1137.08349609375,7,0,0,0
242,0,0,1.3846378326416,-377.237640380859,1136.16845703125,7,0,0,0
243,0,0,1.37961256504059,-376.834381103516,1135.25341796875,7,0,0,0
244,0,0,1.37458729743958,-376.431121826172,1134.33837890625,7,0,0,0
245,0,0,1.36956202983856,-376.027862548828,1133.42333984375,7,0,0,0
246,0,0,1.36453688144684,-375.624603271484,1132.50830078125,7,0,0,0
247,0,0,1.35951173305511,-375.221343994141,1131.59326171875,7,0,0,0
248,0,0,1.35448670387268,-374.818084716797,1130.67822265625,7,0,0,0
249,0,0,1.34946167469025,-374.414794921875,1129.76318359375,7,0,0,0
250,0,0,1.34424483776093,-374.002868652344,1128.85205078125,7,0,0,0
251,0,0,1.33892154693604,-373.586120605469,1127.94299316406,7,0,0,0
252,0,0,1.33359813690186,-373.169372558594,1127.03393554688,7,0,0,0
253,0,0,1.32827472686768,-372.752624511719,1126.12487792969,7,0,0,0
254,0,0,1.3229513168335,-372.335876464844,1125.2158203125,7,0,0,0
255,0,0,1.31762790679932,-371.919128417969,1124.30676269531,7,0,0,0
256,0,0,1.31230449676514,-371.502349853516,1123.39770507813,7,0,0,0
257,0,0,1.30698108673096,-371.085571289063,1122.48864746094,7,0,0,0
258,0,0,1.30165767669678,-370.668792724609,1121.57958984375,7,0,0,0
259,0,0,1.2963342666626,-370.252014160156,1120.67053222656,7,0,0,0
260,0,0,1.29101085662842,-369.835235595703,1119.76147460938,7,0,0,0
261,0,0,1.28568744659424,-369.41845703125,1118.85241699219,7,0,0,0
262,0,0,1.28036403656006,-369.001678466797,1117.943359375,7,0,0,0
263,0,0,1.27504062652588,-368.584899902344,1117.03430175781,7,0,0,0
264,0,0,1.26971709728241,-368.168121337891,1116.12524414063,7,0,0,0
265,0,0,1.26439356803894,-367.751342773438,1115.21618652344,7,0,0,0
266,0,0,1.25907003879547,-367.334564208984,1114.30725097656,7,0,0,0
267,0,0,1.253746509552,-366.917785644531,1113.39819335938,7,0,0,0
268,0,0,1.24842298030853,-366.501007080078,1112.48913574219,7,0,0,0
269,0,0,1.24309945106506,-366.084228515625,1111.58020019531,7,0,0,0
270,0,0,1.23777592182159,-365.667449951172,1110.67114257813,7,0,0,0
271,0,0,1.23245239257813,-365.250671386719,1109.76208496094,7,0,0,0
272,0,0,1.22712886333466,-364.833892822266,1108.85314941406,7,0,0,0
273,0,0,1.22180533409119,-364.417114257813,1107.94409179688,7,0,0,0
274,0,0,1.21648180484772,-364.000335693359,1107.03503417969,7,0,0,0
275,0,0,1.21115815639496,-363.583557128906,1106.12609863281,7,0,0,0
276,0,0,1.20583462715149,-363.166778564453,1105.21704101563,7,0,0,0
277,0,0,1.20051097869873,-362.75,1104.30798339844,7,0,0,0
278,0,0,1.19518733024597,-362.333221435547,1103.39904785156,7,0,0,0
279,0,0,1.1898638010025,-361.916442871094,1102.48999023438,7,0,0,0
280,0,0,1.18454015254974,-361.499664306641,1101.58093261719,7,0,0,0
281,0,0,1.1792163848877,-361.082885742188,1100.67199707031,7,0,0,0
282,0,0,1.17389273643494,-360.666137695313,1099.76293945313,7,0,0,0
283,0,0,1.16856896877289,-360.249359130859,1098.85400390625,7,0,0,0
284,0,0,1.16324543952942,-359.832611083984,1097.94494628906,7,0,0,0
285,0,0,1.15991580486298,-359.402893066406,1097.04223632813,7,0,0,0
286,0,0,1.16064739227295,-358.946868896484,1096.15222167969,7,0,0,0
287,0,0,1.16137897968292,-358.490844726563,1095.26220703125,7,0,0,0
288,0,0,1.1621105670929,-358.034820556641,1094.37219238281,7,0,0,0
289,0,0,1.16284215450287,-357.578796386719,1093.48217773438,7,0,0,0
290,0,0,1.16357374191284,-357.122741699219,1092.59216308594,7,0,0,0
291,0,0,1.16430532932281,-356.666687011719,1091.7021484375,7,0,0,0
292,0,0,1.16503691673279,-356.210632324219,1090.81213378906,7,0,0,0
293,0,0,1.16576850414276,-355.754577636719,1089.92211914063,7,0,0,0
294,0,0,1.16650009155273,-355.298522949219,1089.03210449219,7,0,0,0
295,0,0,1.167231798172,-354.842468261719,1088.14208984375,7,0,0,0
296,0,0,1.16796350479126,-354.386413574219,1087.25207519531,7,0,0,0
297,0,0,1.16869521141052,-353.930358886719,1086.36218261719,7,0,0,0
298,0,0,1.1694267988205,-353.474304199219,1085.47216796875,7,0,0,0
299,0,0,1.17015850543976,-353.018249511719,1084.58227539063,7,0,0,0
300,0,0,1.17089009284973,-352.562194824219,1083.69226074219,7,0,0,0
301,0,0,1.17162179946899,-352.106140136719,1082.80224609375,7,0,0,0
302,0,0,1.17235350608826,-351.650085449219,1081.91235351563,7,0,0,0
303,0,0,1.17562818527222,-351.161071777344,1081.04089355469,7,0,0,0
304,0,0,1.18135917186737,-350.640228271484,1080.18725585938,7,0,0,0
305,0,0,1.18709015846252,-350.119384765625,1079.33361816406,7,0,0,0
306,0,0,1.19282114505768,-349.598541259766,1078.47998046875,7,0,0,0
307,0,0,1.19855213165283,-349.077697753906,1077.62634277344,7,0,0,0
308,0,0,1.20428311824799,-348.556854248047,1076.77270507813,7,0,0,0
309,0,0,1.21001410484314,-348.036010742188,1075.91906738281,7,0,0,0
310,0,0,1.21574509143829,-347.515167236328,1075.0654296875,7,0,0,0
311,0,0,1.22147607803345,-346.994323730469,1074.21179199219,7,0,0,0
312,0,0,1.2272070646286,-346.473480224609,1073.35815429688,7,0,0,0
313,0,0,1.23293805122375,-345.952606201172,1072.50451660156,7,0,0,0
314,0,0,1.23866903781891,-345.431732177734,1071.65087890625,7,0,0,0
315,0,0,1.24440002441406,-344.910858154297,1070.79724121094,7,0,0,0
316,0,0,1.25013101100922,-344.390014648438,1069.94360351563,7,0,0,0
317,0,0,1.25586199760437,-343.869140625,1069.08996582031,7,0,0,0
318,0,0,1.26159310340881,-343.348266601563,1068.236328125,7,0,0,0
319,0,0,1.26732671260834,-342.827087402344,1067.38293457031,7,0,0,0
320,0,0,1.27358901500702,-342.240264892578,1066.5732421875,7,0,0,0
321,0,0,1.2798513174057,-341.653442382813,1065.76354980469,7,0,0,0
322,0,0,1.28611361980438,-341.066619873047,1064.95385742188,7,0,0,0
323,0,0,1.29237592220306,-340.479797363281,1064.14416503906,7,0,0,0
324,0,0,1.29863822460175,-339.892944335938,1063.33447265625,7,0,0,0
325,0,0,1.30490052700043,-339.306091308594,1062.52478027344,7,0,0,0
326,0,0,1.31116282939911,-338.719268798828,1061.71508789063,7,0,0,0
327,0,0,1.31742513179779,-338.132415771484,1060.90539550781,7,0,0,0
328,0,0,1.32368743419647,-337.545562744141,1060.095703125,7,0,0,0
329,0,0,1.32994985580444,-336.958709716797,1059.28601074219,7,0,0,0
330,0,0,1.33621227741241,-336.371887207031,1058.47631835938,7,0,0,0
331,0,0,1.34247469902039,-335.785034179688,1057.66662597656,7,0,0,0
332,0,0,1.34873712062836,-335.198181152344,1056.85693359375,7,0,0,0
333,0,0,1.35499954223633,-334.611328125,1056.04724121094,7,0,0,0
334,0,0,1.3612619638443,-334.024475097656,1055.23754882813,7,0,0,0
335,0,0,1.36752438545227,-333.437652587891,1054.42785644531,7,0,0,0
336,0,0,1.37378680706024,-332.850799560547,1053.6181640625,7,0,0,0
337,0,0,1.3800493478775,-332.263946533203,1052.80847167969,7,0,0,0
338,0,0,1.38631188869476,-331.677093505859,1051.99877929688,7,0,0,0
339,0,0,1.39465379714966,-331.050048828125,1051.21984863281,7,0,0,0
340,0,0,1.40302085876465,-330.422515869141,1050.44128417969,7,0,0,0
341,0,0,1.41138792037964,-329.794982910156,1049.66271972656,7,0,0,0
342,0,0,1.41975510120392,-329.167449951172,1048.88415527344,7,0,0,0
343,0,0,1.4281222820282,-328.539916992188,1048.10559082031,7,0,0,0
344,0,0,1.43648946285248,-327.912384033203,1047.32702636719,7,0,0,0
345,0,0,1.44485664367676,-327.284851074219,1046.54846191406,7,0,0,0
346,0,0,1.45322382450104,-326.657318115234,1045.76989746094,7,0,0,0
347,0,0,1.46159100532532,-326.02978515625,1044.99133300781,7,0,0,0
348,0,0,1.4699581861496,-325.402252197266,1044.21276855469,7,0,0,0
349,0,0,1.47832536697388,-324.774719238281,1043.43420410156,7,0,0,0
350,0,0,1.48669254779816,-324.147186279297,1042.65563964844,7,0,0,0
351,0,0,1.49505984783173,-323.519653320313,1041.87707519531,7,0,0,0
352,0,0,1.5034271478653,-322.892120361328,1041.09851074219,7,0,0,0
353,0,0,1.51179444789886,-322.264587402344,1040.31994628906,7,0,0,0
354,0,0,1.52016174793243,-321.637054443359,1039.54138183594,7,0,0,0
355,0,0,1.52852916717529,-321.009521484375,1038.76281738281,7,0,0,0
356,0,0,1.53211772441864,-320.740386962891,1038.42895507813,7,0,0,0
357,0,0,1.94259929656982,-464.227386474609,1360.88891601563,7,0,0,0
358,0,0,1.94159924983978,-463.896911621094,1359.94506835938,7,0,0,0
359,0,0,1.94059920310974,-463.566436767578,1359.00122070313,7,0,0,0
360,0,0,1.9395991563797,-463.235961914063,1358.05737304688,7,0,0,0
361,0,0,1.93859910964966,-462.905487060547,1357.11352539063,7,0,0,0
362,0,0,1.93759906291962,-462.575012207031,1356.16967773438,7,0,0,0
363,0,0,1.93659901618958,-462.244537353516,1355.22583007813,7,0,0,0
364,0,0,1.93559896945953,-461.9140625,1354.28198242188,7,0,0,0
365,0,0,1.93459892272949,-461.583587646484,1353.33813476563,7,0,0,0
366,0,0,1.93359887599945,-461.253112792969,1352.39428710938,7,0,0,0
