ID,LID,Width,Color,type,LinkID
2077,2149,0.15,W,0,43569
2078,2150,0.15,W,0,43569
2079,2151,0.15,W,0,37193
2080,2152,0.15,W,0,36840
2081,2153,0.15,W,0,46752
2082,2154,0.15,W,0,46751
2083,2155,0.15,Y,0,43068
2084,2156,0.15,Y,0,46740
2085,2157,0.15,W,0,46737
2086,2158,0.15,W,0,38881
2087,2159,0.15,W,0,43052
2088,2160,0.15,W,0,43049
2089,2161,0.15,W,0,46722
2090,2162,0.15,W,0,46723
2091,2163,0.15,W,0,39011
2092,2164,0.15,W,0,39014
2093,2165,0.15,W,0,38895
2094,2166,0.15,W,0,38898
2095,2167,0.15,W,0,38902
2096,2168,0.15,W,0,43047
2097,2169,0.15,W,0,38882
2098,2170,0.15,W,0,39522
2099,2171,0.15,W,0,37096
2100,2172,0.15,W,0,36971
2101,2173,0.15,W,0,36976
2102,2174,0.15,W,0,36982
2103,2175,0.15,W,0,43048
2104,2176,0.15,W,0,38878
2105,2177,0.15,W,0,39895
2106,2178,0.15,W,0,43220
2107,2179,0.15,W,0,37103
2108,2180,0.15,W,0,37108
2109,2181,0.15,W,0,37113
2110,2186,0.15,W,0,44678
2111,2187,0.15,W,0,44678
2112,2188,0.15,Y,0,45049
2113,2189,0.15,W,0,44786
2114,2190,0.15,W,0,44794
2115,2191,0.15,W,0,44803
2116,2192,0.15,W,0,44813
2117,2193,0.15,W,0,44823
2118,2194,0.15,W,0,44833
2119,2195,0.15,W,0,44874
2120,2196,0.15,W,0,44947
2121,2197,0.15,W,0,45161
2122,2198,0.15,W,0,45170
2123,2199,0.15,W,0,45179
2124,2200,0.15,W,0,45190
2125,2201,0.15,W,0,45201
2126,2202,0.15,W,0,45214
2127,2203,0.15,W,0,16396
2128,2204,0.15,W,0,15010
2129,2207,0.15,W,0,43412
2130,2208,0.15,W,0,43408
2131,2209,0.15,Y,0,43722
2132,2210,0.15,Y,0,43719
